原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
今后一个时期，我省要按照科学发展观的要求，全面贯彻中央提出的“自主创新、重点跨越、支撑发展、引领未来”的方针，以增强自主创新能力，打造开放型区域创新体系为中心任务，强化自主创新意识，完善创新体制机制，培养引进创新人才，优化创新发展环境，加快创新型省份建设，让自主创新成为解决资源要素环境制约的根本途径，成为促进产业升级、提高企业和产品竞争力的重要支撑，成为推进科技进步、建设科技强省的核心内容，成为抓住战略机遇期、争取发展主动权的重大战略。,创新,7.0,创新,创新,创新
,自主,4.0,自主,自主,科技
,成为,4.0,成为,成为,发展
,发展,3.0,强省,强省,建设
,环境,2.0,支撑,支撑,加快
,支撑,2.0,战略,战略,产业
,战略,2.0,机遇期,机遇期,科学
,建设,2.0,根本途径,根本途径,人才
,重要,1.0,开放型,开放型,战略
,重点,1.0,发展,发展,企业
,重大,1.0,环境,环境,自主
,跨越,1.0,核心内容,核心内容,重要
,资源,1.0,建设,建设,体系
,贯彻,1.0,科技进步,科技进步,推进
,解决,1.0,主动权,主动权,重大
,要素,1.0,,,
,要求,1.0,,,
,竞争力,1.0,,,
,科技进步,1.0,,,
,科技,1.0,,,
,科学,1.0,,,
,省份,1.0,,,
,根本途径,1.0,,,
,核心内容,1.0,,,
,机遇期,1.0,,,
,机制,1.0,,,
,未来,1.0,,,
,时期,1.0,,,
,方针,1.0,,,
,提高,1.0,,,
,提出,1.0,,,
,推进,1.0,,,
,按照,1.0,,,
,抓住,1.0,,,
,打造,1.0,,,
,我省,1.0,,,
,意识,1.0,,,
,强省,1.0,,,
,强化,1.0,,,
,引领,1.0,,,
,引进,1.0,,,
,开放型,1.0,,,
,完善,1.0,,,
,增强,1.0,,,
,培养,1.0,,,
,发展观,1.0,,,
,升级,1.0,,,
,区域,1.0,,,
,加快,1.0,,,
,制约,1.0,,,
,创新能力,1.0,,,
,创新型,1.0,,,
,全面,1.0,,,
,促进,1.0,,,
,体系,1.0,,,
,体制,1.0,,,
,优化,1.0,,,
,企业,1.0,,,
,任务,1.0,,,
,今后,1.0,,,
,人才,1.0,,,
,产品,1.0,,,
,产业,1.0,,,
,争取,1.0,,,
,主动权,1.0,,,
,中心,1.0,,,
,中央,1.0,,,
,一个,1.0,,,
,,,,,
在生产领域，要建立以节地、节水为中心的资源节约型农业生产体系，加快发展服务业和高新技术产业，加速国民经济信息化，用先进适用技术改造提升传统产业，严格控制高耗能、高耗材、高耗水产业的发展，坚决淘汰严重耗费资源和污染环境的落后生产能力，努力形成有利于资源持续利用和环境保护的产业结构。,资源,2.0,以节,以节,发展
,生产,2.0,高耗,高耗,加快
,发展,2.0,耗材,耗材,产业
,高耗能,1.0,资源,资源,领域
,高耗,1.0,水产业,水产业,体系
,高新技术,1.0,资源节约型,资源节约型,农业
,领域,1.0,污染环境,污染环境,资源
,适用,1.0,高耗能,高耗能,提升
,资源节约型,1.0,传统产业,传统产业,形成
,落后,1.0,生产,生产,努力
,节水,1.0,节水,节水,先进
,耗费,1.0,技术改造,技术改造,生产
,耗材,1.0,严格控制,严格控制,持续
,生产能力,1.0,高新技术,高新技术,建立
,环境保护,1.0,环境保护,环境保护,中心
,淘汰,1.0,,,
,污染环境,1.0,,,
,水产业,1.0,,,
,服务业,1.0,,,
,有利于,1.0,,,
,提升,1.0,,,
,持续,1.0,,,
,技术改造,1.0,,,
,形成,1.0,,,
,建立,1.0,,,
,坚决,1.0,,,
,国民经济,1.0,,,
,努力,1.0,,,
,加速,1.0,,,
,加快,1.0,,,
,利用,1.0,,,
,农业,1.0,,,
,先进,1.0,,,
,信息化,1.0,,,
,体系,1.0,,,
,传统产业,1.0,,,
,以节,1.0,,,
,产业结构,1.0,,,
,产业,1.0,,,
,中心,1.0,,,
,严重,1.0,,,
,严格控制,1.0,,,
,,,,,
科技创新是建设节约型社会的关键。要加大对资源节约和循环利用关键技术的攻关力度，组织开发和示范有重大推广意义的资源节约和替代技术，努力突破技术瓶颈，大力推广应用节约资源的新技术、新工艺、新设备和新材料，构建节约资源的技术支撑体系。,技术,4.0,节约资源,节约资源,创新
,资源,2.0,技术,技术,科技
,节约资源,2.0,节约,节约,技术
,节约,2.0,支撑体系,支撑体系,建设
,重大,1.0,节约型,节约型,社会
,设备,1.0,大力推广,大力推广,关键
,节约型,1.0,资源,资源,重大
,组织,1.0,攻关,攻关,突破
,突破,1.0,新工艺,新工艺,资源
,科技,1.0,关键技术,关键技术,应用
,社会,1.0,瓶颈,瓶颈,努力
,示范,1.0,示范,示范,加大
,瓶颈,1.0,构建,构建,组织
,构建,1.0,替代,替代,构建
,材料,1.0,推广,推广,力度
,替代,1.0,,,
,新工艺,1.0,,,
,攻关,1.0,,,
,支撑体系,1.0,,,
,推广,1.0,,,
,意义,1.0,,,
,循环,1.0,,,
,开发,1.0,,,
,建设,1.0,,,
,应用,1.0,,,
,大力推广,1.0,,,
,努力,1.0,,,
,加大,1.0,,,
,力度,1.0,,,
,利用,1.0,,,
,创新,1.0,,,
,关键技术,1.0,,,
,关键,1.0,,,
,,,,,
