原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
实践告诉我们，伟大事业都基于创新。创新决定未来。建设世界科技强国，不是一片坦途，唯有创新才能抢占先机。这次任务实现了多项创新，填补系列国际国内空白，充分体现了自主创新要敢下先手棋、善打主动仗的精神。我们要深刻把握世界科技发展大势，弘扬科学精神，瞄准战略性、基础性、前沿性领域，坚持补齐短板、跟踪发展、超前布局同步推进，努力实现关键核心技术重大突破，提升国家创新体系整体效能，不断增强科技实力和创新能力，努力在世界高技术领域占有重要一席之地。,创新,6.0,创新,创新,创新
,科技,3.0,科技,科技,科技
,世界,3.0,前沿性,前沿性,发展
,领域,2.0,世界,世界,建设
,精神,2.0,主动仗,主动仗,国家
,我们,2.0,要敢,要敢,我们
,发展,2.0,先手棋,先手棋,科学
,高技术,1.0,精神,精神,领域
,重要,1.0,伟大事业,伟大事业,世界
,重大突破,1.0,坦途,坦途,国际
,这次,1.0,领域,领域,自主
,跟踪,1.0,补齐,补齐,重要
,超前,1.0,短板,短板,实现
,要敢,1.0,一席之地,一席之地,体系
,补齐,1.0,重大突破,重大突破,关键
,自主,1.0,,,
,系列,1.0,,,
,空白,1.0,,,
,科学,1.0,,,
,短板,1.0,,,
,瞄准,1.0,,,
,深刻,1.0,,,
,核心技术,1.0,,,
,未来,1.0,,,
,整体,1.0,,,
,效能,1.0,,,
,提升,1.0,,,
,推进,1.0,,,
,抢占,1.0,,,
,把握,1.0,,,
,才能,1.0,,,
,战略性,1.0,,,
,强国,1.0,,,
,弘扬,1.0,,,
,建设,1.0,,,
,布局,1.0,,,
,实践,1.0,,,
,实现,1.0,,,
,实力,1.0,,,
,大势,1.0,,,
,多项,1.0,,,
,增强,1.0,,,
,填补,1.0,,,
,基础性,1.0,,,
,基于,1.0,,,
,坦途,1.0,,,
,坚持,1.0,,,
,国际,1.0,,,
,国家,1.0,,,
,国内,1.0,,,
,唯有,1.0,,,
,告诉,1.0,,,
,同步,1.0,,,
,占有,1.0,,,
,努力实现,1.0,,,
,努力,1.0,,,
