分词,词频
创新,835
科技,800
发展,687
技术,258
建设,245
经济,243
国家,215
推动,199
加快,197
我国,191
加强,188
产业,186
我们,172
合作,164
科学,163
中国,152
领域,151
人才,151
世界,149
战略,141
企业,131
研究,129
国际,129
自主,127
数字,126
重要,125
基础,121
实现,116
体系,116
社会,114
关键,114
推进,113
农业,113
重大,112
坚持,111
全球,111
发挥,97
人类,97
提高,96
优势,92
突破,88
核心技术,88
资源,87
提升,87
促进,87
问题,86
作用,84
人工智能,84
融合,80
工作者,79
人民,79
形成,77
工作,76
能力,72
不断,72
变革,70
应用,69
科学技术,68
支持,68
广大,68
成为,66
积极,64
支撑,64
成果,64
创新能力,64
具有,64
科学家,63
水平,63
全面,63
必须,62
方面,61
增强,61
需要,60
精神,60
改革,60
研发,59
努力,59
取得,58
创造,58
服务,57
加大,57
一批,57
革命,56
组织,56
安全,56
各国,55
现代化,54
机制,54
更加,54
构建,53
希望,53
培育,53
科研,52
环境,52
强国,52
力量,52
现代,51
完善,51
引领,50
先进,50
重点,49
转化,49
驱动,48
提供,48
探索,48
开放,48
制度,48
经济社会,47
生产,47
开展,47
要素,46
投入,46
创新型,46
贡献,45
海洋,45
实施,45
鼓励,44
需求,44
深化,44
市场,44
力度,44
深度,43
持续,43
强化,43
新一轮,42
培养,42
优化,42
院士,41
攻关,41
动力,41
共同,41
作为,41
量子,40
第一,40
生活,40
数据,40
交流,40
一个,40
管理,39
打造,39
建立,39
健康,39
保障,39
解决,38
绿色,38
继续,38
活力,38
政府,38
导向,38
转变,37
机遇,37
方式,37
作出,37
进一步,36
社会主义,36
方向,36
当前,36
大力,36
依靠,36
互联网,36
科技成果,35
疫情,35
激发,35
把握,35
技术创新,35
区块,35
前沿,35
高质量,34
未来,34
更好,34
智慧,34
时代,34
工程,34
增长,34
动能,34
领导,33
自立自强,33
科普,33
掌握,33
围绕,33
协同,33
产业链,33
主体,33
高水平,32
能源,32
着力,32
活动,32
治理,32
政策,32
全国,32
项目,31
自己,31
科技进步,31
知识产权,31
提出,31
挑战,31
抓住,31
产品,31
中心,31
进入,30
评价,30
规律,30
竞争,30
知识,30
开发,30
加速,30
制造,30
面向,29
特别,29
模式,29
信息技术,29
保护,29
这个,28
素质,28
生物,28
教育,28
弘扬,28
同时,28
面临,27
进步,27
要求,27
科技人才,27
目标,27
格局,27
材料,27
布局,27
利用,27
充分,27
运用,26
突出,26
正在,26
新型,26
战略性,26
引导,26
带动,26
基础设施,26
任务,26
以来,26
竞争力,25
生产力,25
浙江,25
平台,25
带来,25
就是,25
学习,25
历史,25
制造业,25
高效,24
高技术,24
装备,24
航天,24
科协,24
深刻,24
有效,24
充分发挥,24
体制,24
一流,24
高度重视,23
适应,23
科技领域,23
当今世界,23
应该,23
工业,23
实践,23
产学研,23
中华民族,23
通过,22
统筹,22
理念,22
智能,22
改善,22
低碳,22
主要,22
领军,21
深入,21
核心,21
有力,21
智能化,21
方法,21
新冠,21
数字化,21
成功,21
实力,21
国内,21
供给,21
肺炎,20
网络,20
结合,20
生命,20
理论,20
特色,20
民族,20
条件,20
更大,20
时期,20
成长,20
团队,20
命运,20
共享,20
信息化,20
产业化,20
高端,19
高新技术,19
青年,19
计划,19
科研人员,19
生态,19
民生,19
新一代,19
城市,19
参与,19
全民,19
信息,19
伟大,19
配置,18
质量,18
认识,18
落实,18
疫苗,18
有利于,18
文化,18
改造,18
我省,18
应对,18
实验室,18
实体,18
学科,18
区域,18
制高点,18
关键技术,18
传统,18
高峰,17
营造,17
系统,17
科技界,17
牢牢,17
新兴产业,17
影响,17
尊重,17
学术,17
品牌,17
各类,17
原创,17
党中央,17
人才培养,17
高校,16
集聚,16
集成,16
防控,16
能够,16
聚焦,16
结构,16
空间,16
科技前沿,16
社区,16
现实,16
显著,16
改变,16
推广,16
强大,16
大学,16
大力发展,16
复兴,16
发现,16
他们,16
业态,16
一大批,16
香港,15
阶段,15
长期,15
重视,15
造福,15
造就,15
跨越,15
起来,15
视野,15
范围,15
群众,15
综合,15
科技事业,15
成就,15
思想,15
大会,15
基地,15
可控,15
卡脖子,15
升级,15
制定,15
决策,15
位置,15
传统产业,15
事业,15
主动,15
一切,15
青少年,14
金融,14
这样,14
融入,14
稳定,14
科研院所,14
祖国,14
潜力,14
没有,14
根本,14
新能源,14
整合,14
整体,14
效率,14
抢占,14
投资,14
才能,14
建成,14
已经,14
地区,14
各级党委,14
只有,14
变化,14
原始,14
协调,14
医疗,14
包括,14
前列,14
你们,14
一些,14
风险,13
集中力量,13
长远,13
规划,13
药物,13
节约,13
良好,13
自身,13
科技体制,13
科技人员,13
福祉,13
短板,13
瞄准,13
瓶颈,13
深刻影响,13
注重,13
气候变化,13
探测,13
意识,13
循环,13
广泛,13
宇宙,13
天文学,13
地位,13
可以,13
发生,13
勇气,13
努力实现,13
切实,13
军民,13
军事,13
共同体,13
全局,13
保持,13
人才队伍,13
举措,13
主动权,13
一定,13
集群,12
道路,12
转型,12
谋划,12
设备,12
积极性,12
省份,12
树立,12
文明,12
放在,12
按照,12
拥有,12
拓展,12
愿同,12
很多,12
引进,12
大势,12
创造性,12
创业,12
供应链,12
使命,12
代表,12
之间,12
主题,12
落后,11
结构性,11
科技攻关,11
科技交流,11
确保,11
相关,11
最大,11
日益,11
我军,11
征程,11
开辟,11
局面,11
实际,11
增进,11
国防科技,11
制约,11
关心,11
共性,11
健全,11
做好,11
使用,11
作出贡献,11
不能,11
一道,11
一次,11
一体化,11
颠覆性,10
重大突破,10
部署,10
通信,10
路径,10
责任,10
设计,10
精准,10
积累,10
科研机构,10
科学研究,10
研究型,10
相结合,10
百年,10
现代农业,10
消费,10
服务业,10
有序,10
普及,10
明确,10
敢于,10
效能,10
政治,10
攻克,10
抓好,10
手段,10
成立,10
意义,10
快速,10
得到,10
影响力,10
强调,10
基础性,10
协作,10
勇攀,10
利益,10
凝聚,10
其他,10
关系,10
公平,10
产业革命,10
中方,10
中国科学院,10
5G,10
高地,9
释放,9
追求,9
这些,9
趋势,9
资源配置,9
资本,9
行动,9
自信,9
联合,9
结构调整,9
经费,9
第二,9
立足,9
矛盾,9
真正,9
激励,9
清洁,9
深海,9
深入开展,9
梦想,9
机场,9
时间,9
日新月异,9
改革开放,9
携手,9
推广应用,9
挖掘,9
扩大,9
打通,9
手中,9
情况,9
干部,9
就业,9
大胆,9
增长点,9
增加,9
吸引,9
合理,9
各级,9
变为,9
历史性,9
十分,9
劳动者,9
共识,9
伦理,9
传播,9
今天,9
人们,9
产生,9
举国体制,9
中央,9
世纪,9
顶尖,8
面向世界,8
重器,8
进行,8
进展,8
这次,8
这是,8
运行,8
过去,8
路线,8
赢得,8
贯彻,8
论坛,8
计算,8
蓬勃发展,8
自觉,8
育种,8
美国,8
经历,8
科学知识,8
种子,8
破解,8
看到,8
独特,8
潜能,8
流动,8
比较,8
核能,8
标准,8
机构,8
新兴,8
文化素质,8
攻坚克难,8
探月,8
思考,8
形势,8
强烈,8
开启,8
巨大,8
实行,8
奋斗目标,8
奋斗,8
夯实,8
天文,8
国有企业,8
团结,8
各种,8
可能,8
原创性,8
卓越,8
十九,8
勇攀高峰,8
勇于,8
出口,8
农产品,8
兴起,8
全球化,8
党和国家,8
先机,8
做法,8
借鉴,8
保证,8
体制改革,8
价值,8
从来,8
交叉,8
主力军,8
为主,8
两院,8
不是,8
一项,8
一支,8
高等院校,7
首次,7
配套,7
部门,7
近年来,7
迈向,7
达到,7
载人,7
转移,7
转换,7
超前,7
走进,7
认知,7
规模,7
行业,7
蓬勃,7
节能,7
节水,7
肩负起,7
美好生活,7
网络化,7
经验,7
经营,7
繁荣,7
突破口,7
科学普及,7
科协工作,7
确定,7
研判,7
监管,7
生态环境,7
生产方式,7
现在,7
特点,7
物质,7
激烈,7
源泉,7
深厚,7
注入,7
法律,7
水资源,7
检测,7
标志,7
期间,7
攻坚,7
攀登,7
担当,7
打破,7
开始,7
建立健全,7
差距,7
工业化,7
对接,7
完整,7
孕育,7
始终,7
奥秘,7
奠定,7
多年,7
处在,7
塑造,7
基点,7
基本,7
坚强,7
坚定不移,7
坚定,7
坚决,7
国外,7
因素,7
发扬,7
发射,7
勇于创新,7
劳动,7
功能,7
前途,7
前瞻,7
出发,7
全球性,7
催生,7
做强,7
做到,7
信心,7
作战,7
体现,7
以及,7
今年,7
交通,7
事关,7
主体作用,7
中小企业,7
中国科协,7
严谨,7
严格,7
东西,7
不懈,7
不少,7
上来,7
一号,7
顶层,6
降低,6
遵循,6
道德,6
选择,6
进军,6
践行,6
越来越,6
走出,6
赋予,6
资金,6
财富,6
贡献率,6
调研,6
许多,6
规则,6
行动计划,6
芯片,6
致力于,6
自力更生,6
联网,6
职能,6
而是,6
综合国力,6
继承,6
紧迫感,6
精力,6
粮食安全,6
筛选,6
竞相,6
程度,6
移动,6
积极参与,6
社会化,6
研制,6
相互促进,6
病毒,6
生物医药,6
现有,6
牵头,6
激励机制,6
满足,6
源头,6
深化改革,6
涌现,6
治疗,6
汽车,6
步伐,6
标准化,6
最高,6
替代,6
更要,6
新旧,6
效益,6
手里,6
成本,6
思维,6
强省,6
引擎,6
开拓创新,6
广度,6
年来,6
尊重人才,6
对外开放,6
完成,6
契机,6
大量,6
大事,6
多次,6
复杂,6
坚实,6
块状,6
地球,6
地方,6
在内,6
国内外,6
和平,6
合力,6
发力,6
及时,6
卫星,6
包容,6
加深,6
办好,6
前沿性,6
前所未有,6
分享,6
出来,6
减排,6
农村,6
典范,6
关键环节,6
公正,6
全面实施,6
全人类,6
储备,6
倡议,6
依托,6
体育,6
伙伴关系,6
优良传统,6
优良,6
任何,6
价值链,6
以上,6
人类文明,6
举办,6
主攻,6
主战场,6
中国工程院,6
两弹一星,6
两国,6
东盟,6
世界级,6
专业,6
不够,6
不仅,6
一种,6
一代,6
2011,6
10,6
鸿沟,5
高速,5
高层次,5
首先,5
飞跃,5
风气,5
风尚,5
领跑,5
非歧视,5
集成电路,5
难题,5
障碍,5
随着,5
防治,5
长期以来,5
长三角,5
重组,5
重大贡献,5
重塑,5
造福人类,5
逐步,5
迫切需要,5
进程,5
进口,5
这种,5
这方面,5
还有,5
迎难而上,5
过程,5
迅速,5
责任感,5
财政,5
调整,5
课题,5
设立,5
设施,5
论文,5
节约资源,5
航空,5
自主权,5
胜利,5
联系,5
职业,5
网信,5
维护,5
给予,5
结构合理,5
组建,5
纲要,5
约束,5
紧密,5
策源地,5
第二个,5
空间站,5
积极探索,5
科研单位,5
科学决策,5
种业,5
秉持,5
离不开,5
示范,5
破除,5
目前,5
用水,5
生态农业,5
生命科学,5
生动,5
甚至,5
爱国,5
潮流,5
潜心研究,5
涉及,5
消除,5
活跃,5
油气,5
比重,5
比如,5
核电,5
核工业,5
构筑,5
机遇期,5
本领,5
未知,5
未有,5
有益,5
有机,5
智力,5
星际,5
方案,5
方兴未艾,5
救治,5
效应,5
攻坚战,5
推出,5
探讨,5
探究,5
拿出,5
抗疫,5
抓紧,5
抓手,5
承担,5
打赢,5
意见,5
惠及,5
情怀,5
必由之路,5
很大,5
应急,5
平衡,5
工业革命,5
崇尚,5
展示,5
尽快,5
就要,5
小康社会,5
封锁,5
对外,5
存在,5
如果,5
太空,5
天体,5
大规模,5
大庆油田,5
大幅,5
大变局,5
多项,5
多少,5
多出,5
多个,5
处于,5
基金,5
基础学科,5
国际竞争,5
嘉宾,5
哪里,5
品牌战略,5
和谐,5
和平利用,5
吸收,5
